step,ct_loss,entropy_gap_window_w1_loss,entropy_gap_window_w3_loss,rho1_window_w1_loss,rho1_window_w3_loss,symbolic_window_w1_loss,symbolic_window_w3_loss
10,16.134484246373177,27.11264423131943,21.240606299042703,31.045656448602678,23.17978951185942,13.778588516265154,15.344464401900769
20,10.830305118113756,17.724187161773443,14.932564362883568,21.085166989266874,16.317880034446716,8.486600320786238,9.681621779501437
30,9.903944573551417,16.02336414754391,12.876718191802501,18.595966178923845,14.321371927857399,6.7884753368794915,8.746960341744124
40,9.785252314805984,15.796235501021147,12.756001921743154,17.39040034264326,13.485613553225994,6.320864304993302,8.104251560568809
50,9.383825196325779,15.626136389374732,12.688283235952259,17.171285595931113,14.102802075445652,5.914934336766601,8.19467606768012
60,9.399780011177063,14.690115835517645,12.683303745090962,17.392435152828693,13.464616329967976,5.99596349503845,8.065579286590218
70,9.420164650678634,14.381065507233142,12.133516269177198,16.79812635406852,13.67809949144721,5.960720849130302,8.142842414975167
80,8.949700739979743,15.828712024539708,12.230857190489768,16.869727136194705,13.293589279800653,5.418745705299079,8.258867926150561
90,9.781094342470169,15.201740331202746,12.17825593277812,16.99378210231662,13.189394990354776,5.732008560560644,8.071819189190865
100,9.44085851237178,14.99337353631854,12.183015789091588,16.79020835198462,13.50495457649231,5.654990368708968,7.888590988889336
110,9.400824373960495,15.257287440449,12.542823250219225,17.02472063861787,13.90591746121645,5.905314529873431,8.069400295242668
120,9.228774946182966,15.536553139984608,12.327587493509053,16.954303546994925,13.329421561956405,5.533038466051221,7.926265464350581
130,9.083928569406272,15.541084415651857,12.825736492872238,17.164229504019023,13.579966954886913,5.721835028845817,8.051000704616309
140,8.95620846748352,15.095652018487453,12.334188924729824,16.804709226638078,13.101754113286734,5.9568419782444835,7.868238624557852
150,8.785474468022585,14.130206591449678,12.633659382909537,16.15116860680282,12.604380168765783,5.407143766572699,7.763982094824314
160,9.268909607082605,15.375739090144634,11.475439354032279,16.43632819801569,13.418102204799652,5.766767321527004,7.795132347196341
170,9.087105123698711,14.612251422181725,12.39078773483634,17.185087381303312,13.187320138514043,5.680265006329864,7.764957739412784
180,9.367676359415054,14.810226245224476,12.547995229437948,16.776582351326944,13.797474305331708,5.444514554366469,8.104543642699719
190,9.363891911506652,14.644019084610045,12.303157485276461,16.660267540439964,13.31291460171342,5.585203573387116,8.11892858389765
200,9.129370024055243,15.021889123599976,12.12056764177978,16.399841852486134,13.099569184333086,5.62677546646446,8.159310882166029
210,8.957776350528002,15.186623100191355,12.011539867520332,16.185122136771678,13.321835990250111,5.5239049201831225,7.851751776551827
220,9.208988051116467,15.03087103702128,12.647426475584506,16.741506718844175,13.332174408435822,5.69547838466242,7.818583423830569
230,8.757687207311392,15.040570612996817,11.644495546072722,16.43926828838885,13.422090129554272,5.447800736082717,7.9393663527444005
240,8.445512100309134,13.761548164207488,10.912765064835549,15.072063929215073,12.065658639371396,4.880499806697481,7.515665908157826
250,7.845784746110439,13.076295602042228,10.604169968143106,14.867155189067125,11.837339153140784,4.6202708418481055,6.849922602437436
260,7.77394453138113,12.443834130838514,10.631056363135576,14.70863948352635,11.359595372900367,4.576647714618593,6.623274954035878
270,7.932477203756571,12.959810331696644,10.47304562292993,14.34247273132205,11.740869434922933,4.902916309284047,6.668585722520947
280,7.904998908191919,12.705616682954133,10.529723137617111,14.436589250154793,11.650192208588123,4.3744271247182045,6.647935123182833
290,7.782903283834457,12.274929241649806,10.564227030426263,13.947076872736215,11.575490939989686,4.337171079032123,6.720852629374713
300,7.600246322154999,12.797900631651283,10.736270258203149,14.252215161919594,11.445682375878096,4.545213598525152,6.724172215955332
310,7.840280416235328,13.426016201451421,10.247195054590701,13.952978091686964,12.106887367740274,4.389408143656328,6.54539448497817
320,7.878998058289289,13.015706457570195,10.320964110270143,14.350870660319924,11.453417570143937,4.4400859757326545,6.831367883644998
330,7.807447165995836,12.700064056180418,10.667206703778357,14.15812006779015,11.624402147531509,4.418972312146797,6.768228154629469
340,8.100899158418178,12.450316673144698,10.659630620852113,14.194373236596585,11.526105688512326,4.530976790608838,6.547166602825746
350,8.174080937355757,12.04126450959593,10.790256426855922,13.777843216434121,11.715479309856892,4.118293717503548,6.677252730540931
360,8.34000242948532,12.584846519120038,10.445696260035039,14.613860954809933,11.248765479028226,4.204592861793936,6.737040532194078
370,8.046941144019366,12.580319170467556,10.462506338767707,14.465604051202536,11.081000494956971,4.178368776151911,6.380374860810116
380,8.076771987229586,12.2313521114178,10.294708989560604,14.724877231568097,11.310502764582633,4.426614118507132,6.815795206092298
390,7.984244651347399,12.888778070220724,10.511418198049068,14.411224140319973,11.557795337587596,4.511476991418749,6.6232207344844936
400,7.9357570767402645,12.700353038683534,10.41452422849834,14.078766407445073,10.932532449811697,4.526909071439877,6.2312345370650295
410,7.962604496628046,12.747138271480798,10.393569092452527,14.964884862303734,11.764953258633614,4.462180738255848,6.443596407398582
420,8.125777789950371,12.4127745218575,10.391613709926606,14.704671365022659,11.704583948850631,4.388000890170224,6.339317929744721
430,7.9119256511330605,12.455321376025676,10.707884270697832,14.321395736932754,11.631253837794066,4.170434950315394,6.80157259888947
440,8.14957353323698,12.456025930866598,10.543531524389982,14.444117497652769,11.444324778020382,4.570991689804941,6.673517563799396
450,7.7919891275465485,12.817803183197976,10.612302986066789,14.817397359013558,10.96277656070888,4.240531288087368,6.381430842680857
460,7.9124155677855015,12.540412790700794,10.35713097602129,14.211080975271761,11.369141912460327,4.679485244397074,6.727915800362825
470,7.701952265948057,12.6852020252496,10.514950476586819,14.36985197328031,11.39026935696602,4.5916255070827905,6.879404200054705
480,7.542674730718136,12.217773154564203,10.381838528811931,14.459754265472293,11.475659952312707,4.002021289244294,6.308352721482516
490,7.803231759369373,12.13156101629138,10.403427987918258,13.526767485961319,11.393330789357424,4.252419344405643,6.657461954839528
500,7.902402956783772,12.812097792327403,9.948208236321808,13.798335370514542,11.164363002032042,4.421103017870337,6.052457329072058
